Point_time	AUGEVolume	AUGEASTLEVANALOG	AUGWVOLUME	AUGWESTLEVANALOG	ASHREL	SICRESVOLUME	SICRESELEVANALOG	STPALBFLW	RECRESVOLUME	RECRESELEVANALOG	RECREL	NICRESVOLUME	NICRESELEVANALOG	NICNTHFLW	NICSTHFLW	NICCONFLW	EDIRESVOLUME	EDIRESELEVANALOG	EDRNTHFLW	EDRSTHFLW	EDRCONFLW	WDIRESVOLUME	WDIRESELEVANALOG	WDRFLW
01/11/2018	59.89	573.98	32.67	573.78	12	11.54	1105.27	285.20	47.13	835.66	9.68	27.63	1422.97	36.10	0	0.00	109.01	1259.77	47.90	0.00	0.00	49.73	1114.70	87.90
01/12/2018	60.76	573.98	33.21	574.36	12	13.54	1111.98	300.00	47.76	836.59	9.67	29.91	1428.17	36.20	0	0.00	111.33	1261.2	48.00	0.00	0.00	51.82	1116.52	88.00
01/13/2018	61.78	574.58	36.86	575.02	12	15.63	1120.35	67.80	48.12	837.13	9.74	30.93	1430.44	36.10	0	0.00	113.23	1262.4	48.30	0.00	0.00	54.08	1118.45	88.90
01/14/2018	62.71	575.26	36.72	579.23	8	16.32	1122.57	1.50	48.15	837.17	9.75	31.23	1431.09	36.10	0	0.00	114.03	1262.9	48.40	0.00	0.00	55.24	1119.44	87.80
01/15/2018	63.52	575.87	36.3	579.03	13	16.85	1124.10	0.00	48.12	837.13	9.72	31.45	1431.57	36.20	0	0.00	114.61	1263.25	48.00	0.00	0.00	56.17	1120.23	88.20
01/16/2018	63.73	576.39	36.3	578.55	13	17.37	1123.80	0.00	48.07	837.05	9.73	31.67	1432.04	36.20	0	0.00	115.02	1263.5	48.00	0.00	0.00	57.12	1121.01	88.60
01/17/2018	63.83	576.53	36.3	578.55	13	17.66	1123.39	98.40	47.93	836.83	9.72	31.83	1432.4	36.10	0	0.00	115.17	1263.59	48.00	0.00	0.00	57.82	1121.59	88.90
01/18/2018	63.88	576.58	36.4	578.55	13	17.67	1123.09	287.00	47.8	836.65	9.72	31.96	1432.67	36.00	0	0.00	115.29	1263.66	48.00	0.00	0.00	58.35	1122.01	89.10
01/19/2018	63.98	576.63	36.51	578.68	14	17.59	1122.62	375.40	47.66	836.44	9.7	32.09	1432.96	38.20	0	0.00	115.35	1263.7	50.30	0.00	0.00	58.86	1122.43	95.80
01/20/2018	63.44	576.69	37.2	578.8	14	17.52	1122.48	395.30	47.63	836.4	9.68	32.21	1433.22	39.10	0	0.00	115.52	1263.8	51.50	0.00	0.00	59.36	1122.84	99.20
01/21/2018	63.03	576.34	37.93	579.59	13	17.42	1122.25	394.20	47.19	835.75	9.68	32.34	1433.49	39.10	0	0.00	115.64	1263.87	51.50	0.00	0.00	59.8	1123.20	98.20
01/22/2018	62.74	576.07	38.77	580.4	14	17.36	1122.06	393.60	47.01	835.48	9.66	32.48	1433.81	39.20	0	0.00	115.79	1263.97	51.50	0.00	0.00	60.38	1123.70	98.00
01/23/2018	62.6	575.89	41.17	581.3	16	18.58	1125.46	400.10	47.95	836.86	9.67	33.56	1436.05	39.10	0	0.00	117.78	1265.16	52.40	0.00	0.00	63.35	1126.06	97.20
01/24/2018	62.84	575.79	42.09	583.89	16	18.24	1124.58	404.30	48.32	837.43	9.72	33.69	1436.33	39.00	0.1	0.10	118.61	1265.66	52.00	0.00	0.00	65.05	1127.40	97.60
01/25/2018	63.22	575.95	42.63	584.9	13	18.03	1125.71	399.20	48.43	837.59	9.72	33.64	1436.22	0.00	71	0.00	119.29	1266.07	51.30	0.60	0.00	66.19	1128.29	98.30
01/26/2018	63.71	576.19	42.89	585.43	13	17.97	1125.52	396.60	48.54	837.76	9.72	33.54	1436.02	0.00	71	0.00	119.72	1266.34	0.00	64.60	0.00	67.08	1128.99	112.90
01/27/2018	64.25	576.51	43.03	585.69	14	17.96	1125.54	396.10	48.31	837.41	9.72	33.43	1435.79	0.00	70.9	0.00	120.39	1266.73	0.00	64.50	0.00	67.87	1129.61	116.20
01/28/2018	64.78	576.86	43.1	585.83	14	17.91	1125.43	397.60	48.01	836.97	9.72	33.31	1435.53	0.00	70.9	0.00	120.98	1267.09	0.00	64.60	0.00	68.63	1130.20	113.40
01/29/2018	65.27	577.2	43.11	585.9	14	17.83	1125.16	396.20	47.93	836.85	9.68	33.15	1435.2	0.00	70.8	0.00	121.53	1267.42	0.00	64.60	0.00	69.25	1130.67	112.90
01/30/2018	65.6	577.53	43.23	585.91	14	17.75	1124.92	396.90	47.77	836.61	9.66	32.98	1434.85	0.00	70.8	0.00	121.73	1267.54	0.00	64.60	0.00	69.78	1131.07	115.40
01/31/2018	65.69	577.74	43.56	586.04	13	17.63	1124.57	393.90	47.61	836.38	9.67	32.75	1434.37	0.00	70.7	0.00	122.1	1267.76	0.00	64.70	0.00	70.21	1131.39	113.50
